ID,Rmax,Protein,Absorption,Extensibility,DDT,Stability
W18-1411,380,8.68,62.3,17.1,2.43,7.26
W18-1413,407.5,6.68,58,12.26,0.92,1.2
W18-1417,320,5.67,54.3,12.87,0.95,4.83
W18-1419,308.5,6.59,55.8,12.05,1.02,2.9
W18-1420,257,7.08,53.5,13.4,3.83,5.96
W18-1421,347,6.78,52.9,14.22,1.02,6.43
W18-1341,424,8.37,61.4,14.79,1.18,8.87
W18-1396,296.5,8.68,59.6,14.61,2.75,6.69
W18-1316,285.5,8.05,64.2,13.92,1.68,5.67
W18-1393,305,8.07,58.2,16.81,3.6,7.13
W18-1381,458.5,8.46,59.5,16.85,1.27,9.98
W18-0591,532.5,11.65,62.7,21.93,7.31,12.51
W18-0765,378,11.42,65.5,20.87,5.01,9.05
W18-1390,421,8.56,62.1,15.53,5.91,9.47
W18-1323,335.5,7.43,61.1,12.12,1.11,3.32
W18-1320,380,8.07,63.5,14.15,0.98,1.45
W18-1355,302,7.78,61.9,12.83,1.43,6.38
W18-1345,324,8.14,65,15.71,4.04,6.5
W18-1399,356.5,7.35,58.7,12.58,1.14,5.81
W18-0742,490,10.66,63.3,20.16,6.07,29.53
W18-0750,563,11.16,62.9,21.33,6.9,16.37
W18-1309,343.5,6.17,60,12.23,0.86,1.29
W18-0535,430.5,12.8,64.3,22.43,6.66,10.15
W18-1330,367,7.28,62.7,14.5,1.23,2.02
W18-1283,337.5,9.52,63.2,16.96,3.3,7.19
